,Xe,Ye
0,12.608693111887256,19.891190361274496
1,13.905515252678367,19.592304569016452
2,,
3,8.86857880970193,20.952465795331662
4,8.423684627519695,21.874070532169974
5,,
6,8.86857880970193,20.952465795331662
7,8.423684627519695,21.874070532169974
8,,
9,8.86857880970193,20.952465795331662
10,8.423684627519695,21.874070532169974
11,,
12,7.639332170223308,18.380248457146834
13,6.331927985593195,17.820634526291663
14,,
15,10.1425097759969,21.147295861253017
16,11.075162395564252,19.786592150074533
17,,
18,10.801469277480065,18.24498563359008
19,11.075162395564252,19.786592150074533
20,,
21,10.470518017590557,19.07179674220397
22,11.002690993158724,21.043851744568656
23,,
24,9.308145621416468,20.355655880363578
25,11.075162395564252,19.786592150074533
26,,
27,9.290313291738327,21.84597337842725
28,10.657858553755649,21.616497868627683
29,,
30,11.357371966591044,19.831633220200263
31,10.249522234510858,19.783891247529994
32,,
33,11.002690993158724,21.043851744568656
34,11.09264256921595,19.30509299677092
35,,
36,12.552115845041593,20.92717010166474
37,11.378155620186835,20.791257273899873
38,,
39,10.224330970923521,21.097398675741992
40,8.86857880970193,20.952465795331662
41,,
42,11.002690993158724,21.043851744568656
43,10.297852660769504,20.99141534867872
44,,
45,10.249522234510858,19.783891247529994
46,9.364350479888774,19.953080218958508
47,,
48,11.76139459379564,21.869830318085278
49,10.657858553755649,21.616497868627683
50,,
51,7.639332170223308,18.380248457146834
52,7.421192484431888,18.396638565827278
53,,
54,7.639332170223308,18.380248457146834
55,7.421192484431888,18.396638565827278
56,,
57,11.749544432150403,21.677917074300108
58,11.378155620186835,20.791257273899873
59,,
60,11.002690993158724,21.043851744568656
61,9.954270382476391,21.649313481673165
62,,
63,11.357371966591044,19.831633220200263
64,11.002690993158724,21.043851744568656
65,,
66,11.026660920664304,20.778070792798193
67,11.002690993158724,21.043851744568656
68,,
69,12.235981568288384,20.628970537330346
70,11.002690993158724,21.043851744568656
71,,
72,11.002690993158724,21.043851744568656
73,11.409177990328324,19.861045568262295
74,,
75,12.635505421373018,20.863675278426395
76,11.378155620186835,20.791257273899873
77,,
78,10.249522234510858,19.783891247529994
79,11.000549457062725,20.693516014945086
80,,
81,11.000549457062725,20.693516014945086
82,11.002690993158724,21.043851744568656
83,,
84,8.997753180888143,20.948979549081795
85,11.002690993158724,21.043851744568656
86,,
87,9.919066971210233,21.569478119173155
88,11.002690993158724,21.043851744568656
89,,
90,11.002690993158724,21.043851744568656
91,10.157513822795075,20.488255044901425
92,,
93,10.249522234510858,19.783891247529994
94,9.940997833923321,21.0652557504518
95,,
96,7.922803952405103,22.07672729808209
97,7.06222746900863,22.93158382087736
98,,
99,12.619267241257996,21.385444325480414
100,11.002690993158724,21.043851744568656
101,,
102,9.942726071019843,19.423173246937544
103,11.379258162825558,18.363440028552944
104,,
105,9.942726071019843,19.423173246937544
106,11.379258162825558,18.363440028552944
107,,
108,10.224330970923521,21.097398675741992
109,9.911988790064205,23.108031424898922
110,,
111,10.325707726016,17.676173433854043
112,9.807892305625824,18.59081442590925
113,,
114,6.174798910550988,23.56663569818532
115,7.06222746900863,22.93158382087736
116,,
117,8.86857880970193,20.952465795331662
118,7.926894899237586,21.803432160503043
119,,
120,10.325707726016,17.676173433854043
121,9.807892305625824,18.59081442590925
122,,
123,11.19310029550894,20.70335353181141
124,11.002690993158724,21.043851744568656
125,,
126,11.002690993158724,21.043851744568656
127,10.117614540595508,20.732370531626287
128,,
129,6.6670912628604855,17.77816649633932
130,7.639332170223308,18.380248457146834
131,,
132,6.6670912628604855,17.77816649633932
133,7.639332170223308,18.380248457146834
134,,
135,11.002690993158724,21.043851744568656
136,9.940997833923321,21.0652557504518
137,,
138,11.224021479532245,17.78781911643878
139,9.807892305625824,18.59081442590925
140,,
141,11.224021479532245,17.78781911643878
142,12.006506220706338,16.666596276447372
143,,
144,11.224021479532245,17.78781911643878
145,12.44289938083324,17.996285425129102
146,,
147,10.772448830720828,22.558219795295773
148,12.471014875280677,21.991749148773003
149,,
150,10.11755710566231,23.003711038447687
151,8.545673493308977,22.34064044255634
152,,
153,10.11755710566231,23.003711038447687
154,12.464515188381354,21.386809009332193
155,,
156,9.849667181560497,15.212377303923478
157,9.490634610092195,14.067324610672522
158,,
159,5.947534579778277,20.89198975332364
160,9.043700198408885,19.20623320996815
161,,
162,10.634014418643774,17.716369032238312
163,9.807892305625824,18.59081442590925
164,,
165,10.634014418643774,17.716369032238312
166,9.807892305625824,18.59081442590925
167,,
168,8.86857880970193,20.952465795331662
169,9.858479577529112,21.846989949909588
170,,
171,11.368914392218937,22.354055571969106
172,10.657858553755649,21.616497868627683
173,,
174,9.516699222688267,20.39624864123173
175,11.002690993158724,21.043851744568656
176,,
177,11.002690993158724,21.043851744568656
178,12.278739278518467,22.27444734357525
179,,
180,11.368914392218937,22.354055571969106
181,11.002690993158724,21.043851744568656
182,,
183,11.522051083384568,21.718043747981497
184,11.002690993158724,21.043851744568656
185,,
186,9.000251756142307,20.710943254297895
