,Xe,Ye
0,22.208227787549383,-14.24066399789865
1,22.333823005267444,-13.157731166276935
2,,
3,25.870115652194578,-2.0618703625006374
4,25.031507984995603,-1.7080229612831668
5,,
6,25.870115652194578,-2.0618703625006374
7,25.031507984995603,-1.7080229612831668
8,,
9,13.69214870693963,-14.776128121677282
10,12.6192240802167,-15.074432184294386
11,,
12,23.782250665071786,-1.2840318476707848
13,24.668967960117193,-1.571234765144046
14,,
15,23.782250665071786,-1.2840318476707848
16,22.879323267234366,-1.0524093760448845
17,,
18,17.34127542749722,-15.06497901045202
19,16.552331525018943,-14.424225039920483
20,,
21,18.84518253622854,-12.407521242924634
22,18.403163515620047,-11.231654238181639
23,,
24,17.573685173685153,-13.778958475285005
25,19.535607372679287,-13.92884060571481
26,,
27,16.59791655406484,-17.493213731035286
28,16.384606687395863,-18.971955521769676
29,,
30,19.476648223408734,-13.80663504671718
31,20.30664661791186,-12.916619121720455
32,,
33,20.660114501284866,-11.74616230127722
34,20.30664661791186,-12.916619121720455
35,,
36,13.918276625598354,-14.155620598247497
37,14.92891335862313,-14.828545130538743
38,,
39,21.681510368903414,-30.39088015077831
40,20.801663842990177,-30.492339859988792
41,,
42,19.757048827379,-11.356925966055176
43,21.193562481518267,-10.782819337718268
44,,
45,14.989692807771808,-14.704697767619553
46,16.26808022178089,-14.578704373616725
47,,
48,17.573685173685153,-13.778958475285005
49,19.535607372679287,-13.92884060571481
50,,
51,12.672790625932855,-14.445909888715901
52,11.900987276498386,-13.514606790209122
53,,
54,17.34127542749722,-15.06497901045202
55,17.302423589821153,-13.754941882276663
56,,
57,13.69214870693963,-14.776128121677282
58,12.832950429523006,-14.02946307150471
59,,
60,18.96499407678514,-12.452559499248977
61,19.757048827379,-11.356925966055176
62,,
63,21.681510368903414,-30.39088015077831
64,20.801663842990177,-30.492339859988792
65,,
66,15.21174332003906,-16.27487091015135
67,15.282233645582114,-13.515985095954271
68,,
69,34.497718842732816,-15.9323775368221
70,34.497718842732816,-15.9323775368221
71,,
72,17.34127542749722,-15.06497901045202
73,16.722654651860186,-14.219310120666162
74,,
75,17.34127542749722,-15.06497901045202
76,16.722654651860186,-14.219310120666162
77,,
78,17.34127542749722,-15.06497901045202
79,16.722654651860186,-14.219310120666162
80,,
81,19.348877719250428,-14.97815961638796
82,18.650387904303464,-13.734619067994231
83,,
84,17.34127542749722,-15.06497901045202
85,15.954351007064988,-15.474225938259083
86,,
87,14.989692807771808,-14.704697767619553
88,15.954351007064988,-15.474225938259083
89,,
90,15.954351007064988,-15.474225938259083
91,16.224568389143112,-16.851924749822047
92,,
93,17.573685173685153,-13.778958475285005
94,19.535607372679287,-13.92884060571481
95,,
96,17.34127542749722,-15.06497901045202
97,18.22593850327518,-15.156630099498328
98,,
99,26.835653339012502,-28.641370550965064
100,26.001625177614272,-29.077769642259554
101,,
102,14.106979334000593,-16.324089553495043
103,15.419960776006702,-14.930752575646684
104,,
105,17.34127542749722,-15.06497901045202
106,17.734501333491014,-16.28662740851583
107,,
108,17.946483803698342,-9.074377240571902
109,18.089302521202086,-8.008292904689753
110,,
111,17.32908974466043,-12.418849642306391
112,17.37771271730159,-13.769336443729877
113,,
114,17.34127542749722,-15.06497901045202
115,17.37771271730159,-13.769336443729877
116,,
117,17.32908974466043,-12.418849642306391
118,18.84518253622854,-12.407521242924634
119,,
120,16.492267559699428,-14.331982305331367
121,15.360111700936153,-13.774958371344873
122,,
123,25.127239691590244,-29.452572426528896
124,26.001625177614272,-29.077769642259554
125,,
126,27.03778889408399,-2.6690477425308714
127,27.869827506360796,-3.1850273598466137
128,,
129,17.34127542749722,-15.06497901045202
130,16.7050117927872,-14.395334567278004
131,,
132,17.34127542749722,-15.06497901045202
133,16.7050117927872,-14.395334567278004
134,,
135,17.34127542749722,-15.06497901045202
136,16.7050117927872,-14.395334567278004
137,,
138,16.10815346829975,-15.00138819048456
139,14.877859067534336,-15.155570809503335
140,,
141,17.97284066518309,-10.182387868169787
142,17.946483803698342,-9.074377240571902
143,,
144,17.34127542749722,-15.06497901045202
145,16.99317201006318,-14.034313709689483
146,,
147,13.71700391774541,-15.382209803626662
148,14.812061065892342,-15.341128778180039
149,,
150,11.608072359497122,-14.676938299683306
151,12.672790625932855,-14.445909888715901
152,,
153,22.290512001080067,-13.026890628803553
154,20.979452678930574,-13.266928866494764
155,,
156,17.34127542749722,-15.06497901045202
157,17.37771271730159,-13.769336443729877
158,,
159,17.34127542749722,-15.06497901045202
160,17.37771271730159,-13.769336443729877
161,,
162,15.954351007064988,-15.474225938259083
163,14.92891335862313,-14.828545130538743
164,,
165,19.840976355005683,-17.572527003494265
166,18.932007809482172,-16.36592891742919
167,,
168,32.87326474566583,-8.79132529077743
169,32.430111718361275,-7.985885377298174
170,,
171,17.34127542749722,-15.06497901045202
172,15.954351007064988,-15.474225938259083
173,,
174,14.989692807771808,-14.704697767619553
175,13.74902508502431,-14.919731090857107
176,,
177,17.34127542749722,-15.06497901045202
178,18.358548587196115,-15.501353893871018
179,,
180,17.34127542749722,-15.06497901045202
181,18.358548587196115,-15.501353893871018
182,,
183,18.594805752187913,-14.905963946426263
184,18.650387904303464,-13.734619067994231
185,,
186,19.06098316180842,-12.582176251340341
187,19.344474994445847,-13.81414289821846
188,,
189,17.34127542749722,-15.06497901045202
190,15.954351007064988,-15.474225938259083
191,,
192,16.59791655406484,-17.493213731035286
193,15.21174332003906,-16.27487091015135
194,,
195,17.268864399184434,-12.909290687461713
196,15.282233645582114,-13.515985095954271
197,,
198,17.268864399184434,-12.909290687461713
199,18.650387904303464,-13.734619067994231
200,,
201,15.954351007064988,-15.474225938259083
202,14.92891335862313,-14.828545130538743
203,,
204,15.954351007064988,-15.474225938259083
205,14.92891335862313,-14.828545130538743
206,,
207,15.954351007064988,-15.474225938259083
208,14.85178845075541,-15.702009093207321
209,,
210,17.34127542749722,-15.06497901045202
211,17.757183796368142,-15.615117139621098
212,,
213,17.34127542749722,-15.06497901045202
214,17.757183796368142,-15.615117139621098
215,,
216,17.34127542749722,-15.06497901045202
217,17.661223019403877,-15.76203338888769
218,,
219,19.33185170289572,-12.678453308487986
220,20.296092087464835,-11.713786535990657
221,,
222,21.193562481518267,-10.782819337718268
223,21.417947131431085,-12.080584731457098
224,,
225,16.411910400965912,-14.763446304363356
