,date,freq
187,2017-12-08 20:00:00,2
188,2017-12-08 22:00:00,7
189,2017-12-08 23:00:00,1
190,2017-12-09 00:00:00,3
191,2017-12-09 01:00:00,4
192,2017-12-09 02:00:00,3
193,2017-12-09 03:00:00,5
194,2017-12-09 04:00:00,7
195,2017-12-09 05:00:00,8
196,2017-12-09 06:00:00,4
197,2017-12-09 07:00:00,6
198,2017-12-09 08:00:00,4
199,2017-12-09 10:00:00,6
200,2017-12-09 11:00:00,4
201,2017-12-09 12:00:00,4
202,2017-12-09 13:00:00,4
203,2017-12-09 14:00:00,3
204,2017-12-09 15:00:00,5
205,2017-12-09 16:00:00,3
206,2017-12-09 17:00:00,6
207,2017-12-09 18:00:00,3
208,2017-12-09 19:00:00,2
209,2017-12-09 20:00:00,1
210,2017-12-09 22:00:00,1
211,2017-12-10 00:00:00,1
212,2017-12-10 01:00:00,1
213,2017-12-10 02:00:00,1
214,2017-12-10 03:00:00,2
215,2017-12-10 04:00:00,4
216,2017-12-10 05:00:00,3
217,2017-12-10 06:00:00,9
